Lead,Lead I
349,19
404,752
452,137
488,844
512,786
522,71
518,313
499,399
466,349
420,76
364,845
301,194
232,889
162,935
93,964
28,707
-30,564
-82,478
-126,116
-161
-187,314
-205,716
-216,979
-222,165
-222,156
-217,41
-208,572
-196,527
-182,064
-165,74
-148,139
-129,828
-111,7
-95,119
-81,013
-69,706
-61,268
-55,646
-52,613
-51,818
-52,475
-53,291
-53,363
-52,317
-50,027
-46,623
-42,32
-37,335
-32,158
-27,555
-24,007
-21,676
-20,554
-20,414
-21,025
-22,233
-23,782
-25,334
-26,666
-27,655
-28,249
-28,496
-28,423
-28,011
-27,257
-26,18
-24,799
-23,15
-21,268
-19,171
-16,89
-14,464
-11,926
-9,322
-6,685
-4,039
-1,399
1,219
3,799
6,314
8,732
11,036
13,221
15,292
17,264
19,15
20,968
22,741
24,497
26,264
28,066
29,922
31,848
33,862
35,985
38,242
40,66
43,26
46,058
49,068
52,3
55,761
59,459
63,393
67,562
71,962
76,592
81,449
86,53
91,831
97,343
103,057
108,963
115,048
121,3
127,705
134,246
140,909
147,675
154,528
161,45
168,422
175,423
182,433
189,429
196,39
203,291
210,111
216,826
223,41
229,842
236,097
242,152
247,983
253,568
258,886
263,915
268,634
273,025
277,069
280,75
284,053
286,964
289,469
291,557
293,22
294,447
295,232
295,568
295,448
294,869
293,829
292,328
290,366
287,946
285,072
281,749
277,986
273,794
269,182
264,16
258,736
252,925
246,745
240,219
233,373
226,232
218,82
211,165
203,297
195,244
187,028
178,667
170,171
161,558
152,85
144,074
135,264
126,446
117,639
108,86
100,122
91,439
82,823
74,278
65,801
57,402
49,104
40,942
32,964
25,207
17,696
10,448
3,467
-3,239
-9,662
-15,794
-21,624
-27,134
-32,305
-37,104
-41,486
-45,43
-48,928
-51,993
-54,66
-56,954
-58,893
-60,488
-61,74
-62,645
-63,192
-63,375
-63,197
-62,675
-61,839
-60,736
-59,428
-57,973
-56,42
-54,804
-53,139
-51,44
-49,724
-48,012
-46,337
-44,741
-43,279
-41,997
-40,93
-40,102
-39,519
-39,174
-39,042
-39,089
-39,272
-39,558
-39,932
-40,381
-40,901
-41,48
-42,099
-42,732
-43,346
-43,91
-44,403
-44,805
-45,106
-45,306
-45,414
-45,452
-45,456
-45,452
-45,454
-45,472
-45,507
-45,563
-45,647
-45,764
-45,921
-46,124
-46,377
-46,685
-47,051
-47,476
-47,954
-48,472
-49,012
-49,559
-50,105
-50,643
-51,171
-51,688
-52,19
-52,678
-53,156
-53,625
-54,086
-54,539
-54,983
-55,417
-55,844
-56,265
-56,685
-57,107
-57,533
-57,964
-58,401
-58,845
-59,297
-59,756
-60,219
-60,685
-61,155
-61,626
-62,099
-62,573
-63,048
-63,523
-63,998
-64,472
-64,944
-65,413
-65,877
-66,336
-66,786
-67,228
-67,659
-68,078
-68,483
-68,872
-69,245
-69,601
-69,938
-70,256
-70,553
-70,829
-71,083
-71,314
-71,522
-71,706
-71,866
-72,002
-72,114
-72,203
-72,268
-72,31
-72,329
-72,325
-72,3
-72,252
-72,184
-72,096
-71,988
-71,862
-71,72
-71,562
-71,39
-71,205
-71,009
-70,804
-70,591
-70,371
-70,146
-69,918
-69,687
-69,456
-69,226
-68,998
-68,773
-68,554
-68,341
-68,137
-67,941
-67,755
-67,58
-67,418
-67,27
-67,136
-67,017
-66,915
-66,83
-66,763
-66,715
-66,686
-66,676
-66,686
-66,715
-66,764
-66,831
-66,918
-67,022
-67,145
-67,284
-67,44
-67,611
-67,797
-67,995
-68,206
-68,426
-68,655
-68,892
-69,133
-69,378
-69,625
-69,872
-70,118
-70,359
-70,596
-70,825
-71,045
-71,254
-71,451
-71,632
-71,798
-71,946
-72,075
-72,184
-72,272
-72,338
-72,381
-72,401
-72,398
-72,37
-72,319
-72,245
-72,147
-72,027
-71,885
-71,724
-71,544
-71,348
-71,138
-70,915
-70,683
-70,444
-70,2
-69,953
-69,706
-69,461
-69,22
-68,986
-68,761
-68,548
-68,348
-68,164
-67,997
-67,85
-67,723
-67,618
-67,536
-67,477
-67,442
-67,43
-67,443
-67,48
-67,54
-67,622
-67,725
-67,847
-67,985
-68,137
-68,298
-68,465
-68,633
-68,796
-68,949
-69,089
-69,208
-69,304
-69,37
-69,403
-69,399
-69,354
-69,262
-69,12
-68,92
-68,658
-68,329
-67,927
-67,446
-66,882
-66,231
-65,49
-64,658
-63,733
-62,713
-61,596
-60,377
-59,054
-57,629
-56,106
-54,487
-52,78
-50,993
-49,142
-47,249
-45,329
-43,395
-41,455
-39,512
-37,571
-35,638
-33,72
-31,82
-29,944
-28,092
-26,272
-24,493
-22,757
-21,059
-19,385
-17,707
-16,011
-14,298
-12,575
-10,859
-9,169
-7,53
-5,972
-4,538
-3,264
