"Laikotarpis","Rodiklis","Kelių įvykis","Matavimo vienetai","Reikšmė"
"2013M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","338"
"2013M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","318"
"2013M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","328"
"2013M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","335"
"2013M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","194"
"2013M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","183"
"2013M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","172"
"2013M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","223"
"2012M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","263"
"2012M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","352"
"2012M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","321"
"2012M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","340"
"2012M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","312"
"2012M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","328"
"2012M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","289"
"2012M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","307"
"2012M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","224"
"2012M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","196"
"2012M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","185"
"2012M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","274"
"2011M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","362"
"2011M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","302"
"2011M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","292"
"2011M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","320"
"2011M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","349"
"2011M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","314"
"2011M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","326"
"2011M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","291"
"2011M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","213"
"2011M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","180"
"2011M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","162"
"2011M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","155"
"2010M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","277"
"2010M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","343"
"2010M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","344"
"2010M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","359"
"2010M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","342"
"2010M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","356"
"2010M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","327"
"2010M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","324"
"2010M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","244"
"2010M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","223"
"2010M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","171"
"2010M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","220"
"2009M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","333"
"2009M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","342"
"2009M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","362"
"2009M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","337"
