"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2017M08","Mėnesinis mirusiųjų skaičius","asmenys","2942"
"2017M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2824030"
"2017M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2668"
"2017M07","Mėnesinis mirusiųjų skaičius","asmenys","3122"
"2017M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2826282"
"2017M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2488"
"2017M06","Mėnesinis mirusiųjų skaičius","asmenys","3026"
"2017M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2828724"
"2017M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2511"
"2017M05","Mėnesinis mirusiųjų skaičius","asmenys","3382"
"2017M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2832018"
"2017M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2272"
"2017M04","Mėnesinis mirusiųjų skaičius","asmenys","3257"
"2017M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2835338"
"2017M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2400"
"2017M03","Mėnesinis mirusiųjų skaičius","asmenys","3452"
"2017M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2841384"
"2017M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2179"
"2017M02","Mėnesinis mirusiųjų skaičius","asmenys","3683"
"2017M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2847904"
"2017M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2390"
"2017M01","Mėnesinis mirusiųjų skaičius","asmenys","4247"
"2016M12","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2852870"
"2016M12","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2313"
"2016M12","Mėnesinis mirusiųjų skaičius","asmenys","3522"
"2016M11","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2855963"
"2016M11","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2310"
"2016M11","Mėnesinis mirusiųjų skaičius","asmenys","3396"
"2016M10","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2859271"
"2016M10","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2476"
"2016M10","Mėnesinis mirusiųjų skaičius","asmenys","3515"
"2016M09","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2862665"
"2016M09","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2712"
"2016M09","Mėnesinis mirusiųjų skaičius","asmenys","3023"
"2016M08","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2867317"
"2016M08","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2688"
"2016M08","Mėnesinis mirusiųjų skaičius","asmenys","3159"
"2016M07","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2870351"
"2016M07","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2847"
"2016M07","Mėnesinis mirusiųjų skaičius","asmenys","3218"
"2016M06","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","2873297"
"2016M06","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2547"
"2016M06","Mėnesinis mirusiųjų skaičius","asmenys","3247"
