"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2001M06","Mėnesinis mirusiųjų skaičius","asmenys","3240"
"2001M05","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3476605"
"2001M05","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2872"
"2001M05","Mėnesinis mirusiųjų skaičius","asmenys","3316"
"2001M04","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3479127"
"2001M04","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2667"
"2001M04","Mėnesinis mirusiųjų skaičius","asmenys","3314"
"2001M03","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3481653"
"2001M03","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2762"
"2001M03","Mėnesinis mirusiųjų skaičius","asmenys","3449"
"2001M02","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3484237"
"2001M02","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2494"
"2001M02","Mėnesinis mirusiųjų skaičius","asmenys","3203"
"2001M01","Nuolatinių gyventojų skaičius mėnesio pradžioje","asmenys","3486998"
"2001M01","Mėnesinis gyvų gimusių kūdikių skaičius","asmenys","2736"
"2001M01","Mėnesinis mirusiųjų skaičius","asmenys","3724"
